Date : 2021-04-23 08:25:06
Directory : c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy
Total : 73 files,  8714 codes, 131 comments, 163 blanks, all 9008 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| CSS      |         30 |      4,953 |         29 |         36 |      5,018 |
| HTML     |         28 |      3,345 |         95 |        107 |      3,547 |
| XML      |         13 |        396 |          7 |         11 |        414 |
| Markdown |          2 |         20 |          0 |          9 |         29 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                           |         73 |      8,714 |        131 |        163 |      9,008 |
| pages                                                                                                                                                                                       |         44 |      6,834 |         79 |        114 |      7,027 |
| pages\404                                                                                                                                                                                   |          1 |         97 |          0 |          1 |         98 |
| pages\about                                                                                                                                                                                 |          2 |        919 |          1 |          5 |        925 |
| pages\app                                                                                                                                                                                   |          4 |        826 |         25 |          8 |        859 |
| pages\app\privacy-policy                                                                                                                                                                    |          2 |        179 |          1 |          4 |        184 |
| pages\contact                                                                                                                                                                               |          2 |        363 |          0 |          5 |        368 |
| pages\credits                                                                                                                                                                               |          2 |        162 |          1 |          4 |        167 |
| pages\downloads                                                                                                                                                                             |          2 |        663 |          1 |          5 |        669 |
| pages\first-page                                                                                                                                                                            |          1 |        511 |          1 |          1 |        513 |
| pages\gallery                                                                                                                                                                               |          2 |        257 |          1 |          5 |        263 |
| pages\github                                                                                                                                                                                |          2 |        301 |          1 |          6 |        308 |
| pages\globals                                                                                                                                                                               |         10 |        874 |          2 |         27 |        903 |
| pages\globals\global-footer                                                                                                                                                                 |          2 |        438 |          0 |         11 |        449 |
| pages\globals\global-navbar                                                                                                                                                                 |          2 |        258 |          2 |          7 |        267 |
| pages\globals\global-preloader                                                                                                                                                              |          2 |         40 |          0 |          2 |         42 |
| pages\globals\global-top-button                                                                                                                                                             |          2 |         68 |          0 |          5 |         73 |
| pages\pages                                                                                                                                                                                 |          1 |         64 |          1 |          1 |         66 |
| pages\privacy                                                                                                                                                                               |          2 |        172 |          1 |          4 |        177 |
| pages\sitemap                                                                                                                                                                               |          2 |        207 |          1 |          4 |        212 |
| pages\templates                                                                                                                                                                             |          8 |      1,130 |         42 |         30 |      1,202 |
| pages\templates\apple-style-nav-bar                                                                                                                                                         |          2 |        201 |          2 |          6 |        209 |
| pages\templates\modern-footer                                                                                                                                                               |          2 |        201 |          2 |          6 |        209 |
| pages\templates\simple-old-school                                                                                                                                                           |          2 |        309 |          2 |          9 |        320 |
| pages\terms-of-use                                                                                                                                                                          |          2 |        221 |          1 |          5 |        227 |
| resources                                                                                                                                                                                   |         25 |      1,541 |         22 |         39 |      1,602 |
| resources\about                                                                                                                                                                             |          1 |        112 |          1 |          1 |        114 |
| resources\first-page                                                                                                                                                                        |          7 |        129 |          3 |         13 |        145 |
| resources\first-page\fonts                                                                                                                                                                  |          1 |          9 |          0 |          8 |         17 |
| resources\first-page\icons                                                                                                                                                                  |          6 |        120 |          3 |          5 |        128 |
| resources\templates                                                                                                                                                                         |         17 |      1,300 |         18 |         25 |      1,343 |
| resources\templates\apple-style-nav-bar                                                                                                                                                     |          2 |        247 |          1 |          7 |        255 |
| resources\templates\modern-footer                                                                                                                                                           |          2 |        311 |          1 |          8 |        320 |
| resources\templates\simple-old-school                                                                                                                                                       |         13 |        742 |         16 |         10 |        768 |
| resources\templates\simple-old-school\simple-old-school                                                                                                                                     |         13 |        742 |         16 |         10 |        768 |
| resources\templates\simple-old-school\simple-old-school\pages                                                                                                                               |          6 |        495 |          5 |          5 |        505 |
| resources\templates\simple-old-school\simple-old-school\pages\404                                                                                                                           |          1 |         78 |          1 |          1 |         80 |
| resources\templates\simple-old-school\simple-old-school\pages\first-page                                                                                                                    |          1 |        147 |          1 |          1 |        149 |
| resources\templates\simple-old-school\simple-old-school\pages\gallery                                                                                                                       |          2 |        130 |          2 |          1 |        133 |
| resources\templates\simple-old-school\simple-old-school\pages\github                                                                                                                        |          2 |        140 |          1 |          2 |        143 |
| resources\templates\simple-old-school\simple-old-school\resources                                                                                                                           |          5 |        119 |          3 |          5 |        127 |
| resources\templates\simple-old-school\simple-old-school\resources\first-page                                                                                                                |          5 |        119 |          3 |          5 |        127 |
| resources\templates\simple-old-school\simple-old-school\resources\first-page\icons                                                                                                          |          5 |        119 |          3 |          5 |        127 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                                                    | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\404.html                                                                                         | HTML     |         73 |          0 |          3 |         76 |
| c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\README.md                                                                                        | Markdown |         11 |          0 |          1 |         12 |
